50045|13|PS-PERIMETER_START|7012|a2|70410|D|KIS10|1.53|1.5|1|NULL|1|01010000A07C7F00002A466D0BCD94264175E95F624FBC4941E7F2268C9AB19640|61|NULL|NULL|40,58|Storage
50046|14|CL-CLAY_OBJECT|7005|A1|70410|D|KIS10|1.53|1.5|NULL|NULL|NULL|01010000A07C7F00004CBE5D09C3942641E271F6764FBC4941D31A9F5ABAB09640|62|NULL|NULL|58|Storage
50047|15|PB-PERIMETER_BOTTOM|7008|b3|70410|D|KIS10|1.53|1.5|NULL|NULL|NULL|01010000A07C7F0000778A6E50D5942641AA33AD694DBC494108F2803269B29640|63|NULL|NULL||
50048|16|PS-PERIMETER_START|7013|b3|70410|D|KIS10|1.53|1.5|NULL|NULL|1|01010000A07C7F0000BCA15B51D59426410F4CC9694DBC4941C12B1C1D69B29640|64|NULL|NULL||
50049|17|CP-COPPER_PIN|7002|A4|70410|D|KIS10|1.53|1.5|NULL|NULL|NULL|01010000A07C7F000085AC554CDE9426415A19433F50BC4941243BCAD34FAC9640|65|NULL|NULL|58|Storage
50050|18|ZB-PHOTO|7012|A2|70410|D|KIS10|1.53|1.5|NULL|NULL|NULL|01010000A07C7F0000D2EAFD71C89426418FF2DD8C50BC49417BB467C05AB19640|66|NULL|NULL||
50051|19|ZB-PHOTO|7012|A2|70410|D|KIS10|1.53|1.5|NULL|NULL|NULL|01010000A07C7F0000F35B3246CE942641B01D8C8650BC49412EB6022788B19640|67|NULL|NULL||
50052|20|ZB-PHOTO|7010|A4|70410|D|KIS10|1.53|2|NULL|NULL|NULL|01010000A07C7F0000EE10D6BBD9942641E41C2B824FBC49411B4ACE818FAB9640|68|NULL|NULL||
50053|21|ZB-PHOTO|7010|A4|70410|D|KIS10|1.53|2|NULL|NULL|NULL|01010000A07C7F0000F7521DA9D9942641DCF0BB204FBC49410066C4AA49AC9640|69|NULL|NULL||
50054|22|SP-SPECIAL_POTTERY|7010|A4|70410|D|KIS10|1.53|2|NULL|NULL|NULL|01010000A07C7F000074831DD8D89426419ED964254FBC49413D5C0ED6C6AC9640|70|NULL|NULL|58|Storage
50055|23|ZA-CHECK_SHOT|7010|A4|70410|D|KIS10|1.53|2|NULL|NULL|NULL|01010000A07C7F0000FD8626C0DD9426414DC2E01051BC49416D8895BC12AF9640|71|NULL|NULL||
50056|1|ZA-CHECK_SHOT|||70510|D|KIS10|1.542|1.5||||01010000A07C7F0000BFAA6939E09426414668BAAC4ABC4941A8BC1C0526B19640|72||||
50057|2|GR-GROUND_SHOT|7012|A2|70510|D|KIS10|1.542|1.5|||1|01010000A07C7F000060D2312ACB9426410F34557750BC4941F1932D8532B19640|73|||41|Storage
50058|3|GR-GROUND_SHOT|7001|A3|70510|D|KIS10|1.542|1.5|1||1|01010000A07C7F0000DC95A753D39426412587997350BC49414DCB03E926AC9640|74|||6,58|Storage
50059|4|GR-GROUND_SHOT|7007|B2|70510|D|KIS10|1.542|1.5|||1|01010000A07C7F00008C05F0E2C8942641F5392DB24DBC49417F5B494D58B29640|75|||41|Storage
50060|5|GR-GROUND_SHOT|7013|B3|70510|D|KIS10|1.542|1.5||||01010000A07C7F0000030B3FB2D5942641CE8B13C94DBC49418F97B80DB9B19640|76||||
50061|6|GR-GROUND_SHOT|7009|B4|70510|D|KIS10|1.542|1.5|||1|01010000A07C7F0000E7668731DE9426414C25F2BC4DBC49416B2A475CBEB09640|77|||8|Storage
50062|7|GR-GROUND_SHOT|7011|C4|70510|D|KIS10|1.542|1.5||||01010000A07C7F00000E089DF3DE942641450191C14BBC494120D5082A33B09640|78||||
50063|8|GR-GROUND_SHOT|7005|A1|70510|D|KIS10|1.542|1.5|||1|01010000A07C7F0000AEC1776EBF942641411A04F451BC494156D0D01933B09640|79|||35|Storage
50064|9|SP-SPECIAL_POTTERY|7011|C4|70510|D|KIS10|1.542|1.5||||01010000A07C7F00006F822D1AE0942641A65368EE4ABC4941FE62930C57B09640|80|||58|Storage
50065|10|SP-SPECIAL_POTTERY|7012|A2|70510|D|KIS10|1.542|1.5||||01010000A07C7F000014624724C99426419575492251BC49414115537A23B19640|81||||
50066|11|SP-SPECIAL_POTTERY|7012|A2|70510|D|KIS10|1.542|1.5||||01010000A07C7F00009A0E196EC99426411395B27350BC49419A16BAE75CB19640|82|||8,61,62|Storage
50067|12|SP-SPECIAL_POTTERY|7012|A2|70510|D|KIS10|1.542|1.5||||01010000A07C7F00008DE82216CF942641455BDF4A50BC49417930426D5CB19640|83|||8|Storage
50068|13|SP-SPECIAL_POTTERY|7005|A1|70510|D|KIS10|1.542|1.5||||01010000A07C7F0000575E6E99C1942641910FD5AB50BC4941D267A35562B09640|84|||7,59,67|Storage
50069|14|ZB-PHOTO|7016|C4|70510|D|KIS10|1.542|1.5||||01010000A07C7F0000907B255ADD942641DE6D838C4BBC4941ED0D8EF755B09640|85||||
50070|15|PB-PERIMETER_BOTTOM|7013|B3|70510|D|KIS10|1.542|1.5||||01010000A07C7F0000B6749AB9D5942641B0BCF57B4DBC4941E72D405A6FB29640|86||||
50071|16|PS-PERIMETER_START|7015|B3|70510|D|KIS10|1.542|1.5|||2|01010000A07C7F0000919C6DA8D594264109E066754DBC494172C11D9049B29640|87|||41|Storage
50072|17|PB-PERIMETER_BOTTOM|7011|C4|70510|D|KIS10|1.542|1.5||||01010000A07C7F00005177D0BADA942641A83AE4D34BBC4941067A1A0C44B19640|88||||
50073|18|PS-PERIMETER_START|7016PS|C4|70510|D|KIS10|1.542|1.5|||1|01010000A07C7F0000A830BEB7DA942641614FE0D34BBC4941CA2C549444B19640|89|||41|Storage
50074|19|PB-PERIMETER_BOTTOM|7005|A1|70510|D|KIS10|1.542|1.5||||01010000A07C7F000029D6C23BC09426412AD1482C50BC4941F791759E3BB09640|90||||
50075|20|PS-PERIMETER_START|7017|A1|70510|D|KIS10|1.542|1.5||||01010000A07C7F0000EA758B3AC09426413234432D50BC49416EDFA08F3AB09640|91||||
50076|21|PS-PERIMETER_START|7018|A3|70510|D|KIS10|1.542|1.5|||1|01010000A07C7F0000D3A57F73D0942641FEF4FA7E51BC49413581CBA7B4B19640|92|||8|Storage
50077|22|PS-PERIMETER_START|7019|A3|70510|D|KIS10|1.542|1.5||||01010000A07C7F0000D3C68D6ED0942641B81DBFC14FBC49415BB0B741BEB29640|93||||
50078|23|SO-STONE_OBJECT|7001|A3|70510|D|KIS10|1.542|1.5||||01010000A07C7F00002818C674D09426419EC431C250BC49414D4E8D51BDAF9640|94|||58|Storage
50079|24|PU-PUMUS_STONE|7012|A2|70510|D|KIS10|1.542|1.5||||01010000A07C7F0000A6066094CE942641121DB8C450BC4941888436D36FB19640|95|||58|Storage
50080|25|ZB-PHOTO|7012|A2|70510|D|KIS10|1.542|1.5||||01010000A07C7F00008323F5ACCE942641B44AFAC550BC4941FE75250440B19640|96||||
50081|26|ZB-PHOTO|7012|A2|70510|D|KIS10|1.542|1.5||||01010000A07C7F0000F8ED56C0CB942641297398DB50BC4941B9FB8C2A47B19640|97||||
50082|27|PR-POLISHING_STONE|7012|A2|70510|D|KIS10|1.542|1.5||||01010000A07C7F000051FA216ECA9426414ACE2EF550BC4941AD86530D0AB19640|98|||58|Storage
50083|28|PR-POLISHING_STONE|7012|A2|70510|D|KIS10|1.542|1.5||||01010000A07C7F0000391735C0CB9426419809D0DC50BC49414D85C6FC46B19640|99|||58|Storage
50084|1|ZA-CHECK_SHOT|||70610|D|KIS10|1.551|1.5||||01010000A07C7F0000259D1640E09426412085A1AC4ABC4941C170CF6F16B19640|100||||
50085|2|PB-PERIMETER_BOTTOM|7009|B4|70610|D|KIS10|1.551|1.5|||1|01010000A07C7F000051B49BEEDD942641315B57854DBC4941A9D3283D06B19640|101|||41|Storage
50086|3|PS-PERIMETER_START|7020|B4|70610|D|KIS10|1.551|1.5|||1|01010000A07C7F0000E5FF02F3DD942641FAEA4F844DBC4941A97E3B0F06B19640|102|||9|Storage
50087|4|GR-GROUND_SHOT|7015|B3|70610|D|KIS10|1.551|1.5|||1|01010000A07C7F0000E92D5883D4942641CBAB29984DBC49415A103A0712B29640|103|||41|Storage
50088|5|GR-GROUND_SHOT|7007|B2|70610|D|KIS10|1.551|1.5|||1|01010000A07C7F0000F280EC40C9942641667968554DBC4941B3B6C6F3DFB29640|104|||39|Storage
50089|6|GR-GROUND_SHOT|7018|A3|70610|D|KIS10|1.551|1.5|||1|01010000A07C7F0000C02474BFD0942641F1EA667251BC494139D04248CDB19640|105|||35|Storage
50090|7|GR-GROUND_SHOT|7019|A3|70610|D|KIS10|1.551|1.5||1|1|01010000A07C7F0000637AE32AD09426415AB917F14FBC494175ACC3AA9BB29640|106|||41,58|Storage
50091|8|GR-GROUND_SHOT|7012|A2|70610|D|KIS10|1.551|1.5||||01010000A07C7F00009CDEE639CC9426416EB99F6F50BC494189274CB39EB19640|107||||
50092|9|GR-GROUND_SHOT|7017|A1|70610|D|KIS10|1.551|1.5||1|1|01010000A07C7F000061E40229C1942641515B344A50BC4941F8649DA8A0B09640|108|||39,58|Storage
50093|10|SO-STONE_OBJECT|7016|C4|70610|D|KIS10|1.551|1.5||||01010000A07C7F0000E094E20EDD942641C410EF744CBC494104862510BDB09640|109|||58|Storage
50094|11|SP-SPECIAL_POTTERY|7017|A1|70610|D|KIS10|1.551|1.5||||01010000A07C7F00007718CD6DC1942641152983EA50BC49415D00520608B09640|110|||8,37,58,61,62,62|Storage
50095|12|RC-RADIOCARBON_14_SAMPLE|7012|A2|70610|D|KIS10|1.551|1.5||||01010000A07C7F0000D7E484EACA942641517CC6EB50BC49416947266EC5B09640|111|||RC1|Storage
50096|13|FI-FILL|7012|A2|70610|D|KIS10|1.551|1.5||||01010000A07C7F000068D52152CA942641B3DAB2E24CBC4941CAC36999AFB29640|112||||
50097|14|GS-GRINDING_SLAB|7007|B2|70610|D|KIS10|1.551|1.5||||01010000A07C7F000049BEAF43CA942641C5984FE14CBC4941276E9769B7B29640|113|||58|Storage
50098|15|RC-RADIOCARBON_14_SAMPLE|7012|A2|70610|D|KIS10|1.551|1.5||||01010000A07C7F0000E54093A7C9942641A83407FD50BC4941E0DD0852D3B09640|114|||RC1|Storage
50099|16|RC-RADIOCARBON_14_SAMPLE|7012|A2|70610|D|KIS10|1.551|1.5||||01010000A07C7F000025068155C5942641BC7493B84BBC4941713D0AD7A3B49640|115|||RC1|Storage
50100|17|SP-SPECIAL_POTTERY|7017|A1|70610|D|KIS10|1.551|1.5||||01010000A07C7F000066F78115C094264150F8115B50BC4941ED16EB950DB09640|116|||62|Storage
50101|18|GR-GROUND_SHOT|7016|C4|70610|D|KIS10|1.551|1.5|||1|01010000A07C7F000083818C71DD942641AE8A26AF4BBC4941CA087C82A5B09640|117|||41|Storage
50102|19|RC-RADIOCARBON_14_SAMPLE|7012|A2|70610|D|KIS10|1.551|1.5||||01010000A07C7F00001AE9FBBBCB942641CD0CD16D51BC494146E5A97DA6B09640|118|||RC1|Storage
50103|20|PB-PERIMETER_BOTTOM|7015|B3|70610|D|KIS10|1.551|1.5||||01010000A07C7F000000DFAFFCD5942641CD9772954DBC4941A9C1809AB8B19640|119||||
50104|21|PS-PERIMETER_START|7021|B3|70610|D|KIS10|1.551|1.5||||01010000A07C7F00006A7806F1D59426411736B9A54DBC49418326A49EA8B19640|120|||41|Storage
50105|22|SP-SPECIAL_POTTERY|7012|A2|70610|D|KIS10|1.551|1.5||||01010000A07C7F000048C927C7C8942641CDD545B54FBC49411607958DA6B09640|121|||58|Storage
50107|23|SP-SPECIAL_POTTERY|7012|A2|70610|D|KIS10|1.551|1.5||||01010000A07C7F00004033040BCF942641425DA4C650BC49415A24D13AD0B09640|122||||
50109|24|SP-SPECIAL_POTTERY|7012|A2|70610|D|KIS10|1.551|1.5||||01010000A07C7F00003684F8C2CE942641C3CDF39451BC4941D212F341D4B09640|123|||88|Storage
50110|25|SO-STONE_OBJECT|7012|A2|70610|D|KIS10|1.551|1.5||||01010000A07C7F0000F57B8B12CF94264118D57D9B51BC49413CC69D9AB3B09640|124|||58|Storage
50106|23|ZB-PHOTO|7012|A2|70610|D|KIS10|1.551|1.5||||01010000A07C7F000066155737CF942641ED5BF7C550BC49419CF438B8C1B09640|126||||
50108|25|ZB-PHOTO|7012|A2|70610|D|KIS10|1.551|1.5||||01010000A07C7F00008D646EFACE942641DE89FE8F51BC494176EC79DDCDB09640|128||||
50109|26|ZB-PHOTO|7012|A2|70610|D|KIS10|1.551|1.5||||01010000A07C7F000025068155C5942641BC7493B84BBC4941713D0AD7A3B49640|129|||88|Storage
50111|1|ZA-CHECK_SHOT|||70710|D|KIS10|1.527|1.486||||01010000A07C7F00000657CC3AE0942641E7244AAD4ABC4941B5F958E928B19640|130||||
50112|2|ZB-PHOTO|7005|A1|70710|D|KIS10|1.527|1.486||||01010000A07C7F000041873392C29426419D8EB6694FBC4941536098435EB09640|131||||
50113|3|ZB-PHOTO|7005|A1|70710|D|KIS10|1.527|1.486||||01010000A07C7F0000F45C9570C2942641E227698450BC4941FA76697F53B09640|132||||
50114|4|ZB-PHOTO|7012|A2|70710|D|KIS10|1.527|1.486||||01010000A07C7F00003649E2C7CE942641FD10C0D24FBC4941E54C7A2BDBB09640|133||||
50115|5|GR-GROUND_SHOT|7017|A1|70710|D|KIS10|1.527|1.486|||1|01010000A07C7F00003F847EF1BF9426411E9727DF4FBC49414DF267E44EB09640|134||||
50116|6|GR-GROUND_SHOT|7012|A2|70710|D|KIS10|1.527|1.486|||1|01010000A07C7F0000A732183FCB9426413CE5877850BC49415A38DD32BDB09640|135|||41|Storage
50117|7|PB-PERIMETER_BOTTOM|7018|A3|70710|D|KIS10|1.527|1.486||||01010000A07C7F000071E78054D1942641F76E987D51BC4941EEC4AEAA27B19640|136||||
50118|8|PS-PERIMETER_START|7022|A3|70710|D|KIS10|1.527|1.486|||1|01010000A07C7F0000B93FAC53D19426413D10B47D51BC4941DFD7309A27B19640|137|||40,41|Storage
50119|9|PB-PERIMETER_BOTTOM|7019|A3|70710|D|KIS10|1.527|1.486||||01010000A07C7F00008FA6BC1AD0942641167772D24FBC49410BBB7AE608B29640|138||||
50120|10|PS-PERIMETER_START|7023|A3|70710|D|KIS10|1.527|1.486|1||1|01010000A07C7F000051D07921D0942641246FCAD34FBC4941E756320608B29640|139|||35|Storage
50121|11|GR-GROUND_SHOT|7007|B2|70710|D|KIS10|1.527|1.486|||1|01010000A07C7F00002858EB7BC99426410225AAAA4DBC49419A72870A71B29640|140|||39|Storage
50122|12|GR-GROUND_SHOT|7021|B3|70710|D|KIS10|1.527|1.486|||1|01010000A07C7F000086ACB027D7942641035FD1BD4DBC4941F71E576F2CB19640|141|||40|Storage
50123|13|PB-PERIMETER_BOTTOM|7009|B4|70710|D|KIS10|1.527|1.486||||01010000A07C7F0000C1CEC9C0DB9426412C1CF7B54DBC4941EB52EDDC11B19640|142||||
50124|14|PS-PERIMETER_START|7020|B4|70710|D|KIS10|1.527|1.486|||1|01010000A07C7F0000674E4DBCDB942641DEDAD3B64DBC4941FB73BFF60EB19640|143|||35|Storage
50125|15|GR-GROUND_SHOT|7016|C4|70710|D|KIS10|1.527|1.486|||1|01010000A07C7F00003117A758DD94264128277FEC4BBC4941E5B6380477B09640|144|||41|Storage
50126|16|RC-RADIOCARBON_14_SAMPLE|7012|C4|70710|D|KIS10|1.527|1.486||||01010000A07C7F0000251983AACB942641B027701751BC4941AABDE24A17B09640|145|||RC1|Storage
50127|17|HS-HAMMERSTONE|7017|A1|70710|D|KIS10|1.527|1.486||||01010000A07C7F00008BB28ECDC1942641D539ABF550BC4941EA78F576CCAF9640|146|||2|Storage
50128|18|HS-HAMMERSTONE|7017|A1|70710|D|KIS10|1.527|1.486||||01010000A07C7F00003B5E9ADBC19426413F11D56450BC4941BE7F6ECEE4AF9640|147|||2|Storage
50129|19|ZB-PHOTO|7017|A1|70710|D|KIS10|1.527|1.486||||01010000A07C7F00007D72B9B8C1942641C04010AE50BC4941F253433CC1AF9640|148||||
50130|20|RV-RECONSTRUCTABLE_VESSEL|7012|A2|70710|D|KIS10|1.527|1.486||||01010000A07C7F0000D2625B7ECE9426410BD0B60851BC494112627A806FB09640|149|||59|Storage
50131|21|ZB-PHOTO|7012|A2|70710|D|KIS10|1.527|1.486||||01010000A07C7F0000E72A4899CE942641E79EBF0751BC4941994404B673B09640|150||||
50132|22|OL-OIL_LAMP|7007|B2|70710|D|KIS10|1.527|1.486||||01010000A07C7F00001AE2F5AECA94264122F6AE824EBC49418A92C1A6B2B19640|151||||
50133|23|OL-OIL_LAMP|7007|B2|70710|D|KIS10|1.527|1.486||||01010000A07C7F000025068155C5942641BC7493B84BBC49419A99999999B49640|152|||,88|Storage
50134|24|ZB-PHOTO|7007|B2|70710|D|KIS10|1.527|1.486||||01010000A07C7F00006E32ECB2CA942641B752BE874EBC49418EF15F63B9B19640|153||||
50135|25|HS-HAMMERSTONE|7007|B2|70710|D|KIS10|1.527|1.486||||01010000A07C7F0000C740850CCE942641BA59722D4EBC494160D5157EDAB19640|154|||58|Storage
50136|26|SP-SPECIAL_POTTERY|7007|B2|70710|D|KIS10|1.527|1.486||||01010000A07C7F000016DFCCEDC994264114BB6C884EBC4941E3733D0600B29640|155|||62|Storage
50137|27|PL-PLASTER|7021|B3|70710|D|KIS10|1.527|1.486||||01010000A07C7F0000FAF59E91D5942641DB7A97954DBC49417C04C320B6B09640|156|||40|Storage
50138|28|PB-PERIMETER_BOTTOM|7021|B3|70710|D|KIS10|1.527|1.486||||01010000A07C7F0000152F1E5FD6942641B13ACDC14DBC4941C673A00900B19640|157||||
50139|29|PS-PERIMETER_START|7024|B3|70710|D|KIS10|1.527|1.486||||01010000A07C7F00000700965CD69426413153A4C14DBC49412E294E20F6B09640|158||||
50140|30|ZB-PHOTO|7024|B3|70710|D|KIS10|1.527|1.486|||1|01010000A07C7F00002B5AB10CD6942641A13193BE4DBC49415F479BE8D4B09640|159|||9|Storage
50141|31|PB-PERIMETER_BOTTOM|7007|B2|70710|D|KIS10|1.527|1.486||||01010000A07C7F000014179126CA9426412F9B4A744DBC4941A19AD3A395B29640|160||||
